Date,Open,High,Low,Close,Volume,Adj Close
2008-09-30,19.09,21.17,18.94,20.510001,11318400,199.547943
2008-09-29,19.57,21.29,17.75,17.75,20118500,172.69507
2008-09-26,18.35,20.42,18.15,20.15,11248600,196.045389
2008-09-25,19.30,20.17,19.04,19.410001,9354600,188.845713
2008-09-24,20.00,20.00,18.80,18.960001,8743300,184.467528
2008-09-23,19.79,20.00,18.12,19.99,8501100,194.488695
2008-09-22,19.960001,20.560001,19.50,20.010001,11772100,194.683293
2008-09-19,21.70,22.530001,19.00,20.65,26540500,200.910039
2008-09-18,14.630001,17.40,12.85,16.65,34223900,161.99284
2008-09-17,15.00,15.230001,13.03,14.030001,31223400,136.502078
2008-09-16,14.260001,16.010001,14.10,15.75,25736700,153.23647
2008-09-15,16.39,17.680001,14.70,15.24,26909700,148.274521
2008-09-12,18.19,18.89,17.72,17.960001,10991600,174.738228
2008-09-11,17.84,18.680001,17.630001,18.610001,13396600,181.062273
2008-09-10,19.160001,19.24,18.180001,18.680001,9026000,181.743321
2008-09-09,20.02,20.380001,18.810001,18.880001,11634800,183.689181
2008-09-08,20.84,20.95,19.50,20.32,17043000,197.699367
2008-09-05,18.05,19.180001,17.930001,19.07,8401400,185.537742
2008-09-04,19.30,19.47,18.210001,18.30,8057300,178.046184
2008-09-03,19.12,19.660001,18.77,19.610001,6362700,190.791573
2008-09-02,19.630001,19.82,18.880001,19.110001,7979000,185.926923
