"","date","PX_LAST"
"1995-01-03","1995-01-03",16.6332
"1995-01-04","1995-01-04",16.4022
"1995-01-05","1995-01-05",16.0557
"1995-01-06","1995-01-06",16.0557
"1995-01-09","1995-01-09",16.1134
"1995-01-10","1995-01-10",15.9402
"1995-01-11","1995-01-11",15.7092
"1995-01-12","1995-01-12",15.6514
"1995-01-13","1995-01-13",15.8247
"1995-01-16","1995-01-16",15.9979
"1995-01-17","1995-01-17",16.2289
"1995-01-18","1995-01-18",15.9979
"1995-01-19","1995-01-19",15.9402
"1995-01-20","1995-01-20",15.8824
"1995-01-23","1995-01-23",16.0557
"1995-01-24","1995-01-24",16.1712
"1995-01-25","1995-01-25",16.4022
"1995-01-26","1995-01-26",16.46
"1995-01-27","1995-01-27",16.8065
"1995-01-30","1995-01-30",16.8065
"1995-01-31","1995-01-31",17.0375
"1995-02-01","1995-02-01",17.153
"1995-02-02","1995-02-02",17.5573
"1995-02-03","1995-02-03",17.9616
"1995-02-06","1995-02-06",17.8461
"1995-02-07","1995-02-07",17.4995
"1995-02-08","1995-02-08",17.0375
"1995-02-09","1995-02-09",17.0375
"1995-02-10","1995-02-10",17.3263
"1995-02-13","1995-02-13",17.0953
"1995-02-14","1995-02-14",17.8461
"1995-02-15","1995-02-15",17.7306
"1995-02-16","1995-02-16",17.8461
"1995-02-17","1995-02-17",17.8461
"1995-02-21","1995-02-21",18.0193
"1995-02-22","1995-02-22",18.0193
"1995-02-23","1995-02-23",18.1348
"1995-02-24","1995-02-24",18.3081
"1995-02-27","1995-02-27",17.9038
"1995-02-28","1995-02-28",18.0771
"1995-03-01","1995-03-01",17.9038
"1995-03-02","1995-03-02",17.9038
"1995-03-03","1995-03-03",17.9616
"1995-03-06","1995-03-06",18.1348
"1995-03-07","1995-03-07",17.7306
"1995-03-08","1995-03-08",17.615
"1995-03-09","1995-03-09",17.7883
"1995-03-10","1995-03-10",18.3659
"1995-03-13","1995-03-13",18.2503
"1995-03-14","1995-03-14",18.3659
"1995-03-15","1995-03-15",18.4236
"1995-03-16","1995-03-16",18.4814
"1995-03-17","1995-03-17",18.5391
"1995-03-20","1995-03-20",18.5969
"1995-03-21","1995-03-21",18.8279
"1995-03-22","1995-03-22",18.8856
"1995-03-23","1995-03-23",18.7701
"1995-03-24","1995-03-24",18.5969
"1995-03-27","1995-03-27",18.6546
"1995-03-28","1995-03-28",18.5969
"1995-03-29","1995-03-29",18.5391
"1995-03-30","1995-03-30",18.0193
"1995-03-31","1995-03-31",18.0771
"1995-04-03","1995-04-03",18.3081
"1995-04-04","1995-04-04",18.4236
"1995-04-05","1995-04-05",18.4814
"1995-04-06","1995-04-06",18.4236
"1995-04-07","1995-04-07",18.4236
"1995-04-10","1995-04-10",18.6546
"1995-04-11","1995-04-11",18.6546
"1995-04-12","1995-04-12",18.8856
"1995-04-13","1995-04-13",18.9434
"1995-04-17","1995-04-17",18.7124
"1995-04-18","1995-04-18",18.9434
"1995-04-19","1995-04-19",18.7124
"1995-04-20","1995-04-20",18.6546
"1995-04-21","1995-04-21",19.0589
"1995-04-24","1995-04-24",19.1167
"1995-04-25","1995-04-25",19.0589
"1995-04-26","1995-04-26",19.2322
"1995-04-27","1995-04-27",19.0011
"1995-04-28","1995-04-28",19.2322
"1995-05-01","1995-05-01",19.4054
"1995-05-02","1995-05-02",19.8675
"1995-05-03","1995-05-03",20.676
"1995-05-04","1995-05-04",20.7338
"1995-05-05","1995-05-05",20.5028
"1995-05-08","1995-05-08",20.8493
"1995-05-09","1995-05-09",20.6183
"1995-05-10","1995-05-10",21.0803
"1995-05-11","1995-05-11",21.0803
"1995-05-12","1995-05-12",20.5028
"1995-05-15","1995-05-15",21.1381
"1995-05-16","1995-05-16",20.9648
"1995-05-17","1995-05-17",20.9648
"1995-05-18","1995-05-18",20.3873
"1995-05-19","1995-05-19",20.7338
"1995-05-22","1995-05-22",20.676
"1995-05-23","1995-05-23",21.0225
"1995-05-24","1995-05-24",21.7156
"1995-05-25","1995-05-25",21.4846
"1995-05-26","1995-05-26",21.4846
"1995-05-30","1995-05-30",21.8889
"1995-05-31","1995-05-31",22.6397
"1995-06-01","1995-06-01",22.2354
"1995-06-02","1995-06-02",21.8311
"1995-06-05","1995-06-05",21.4846
"1995-06-06","1995-06-06",21.3113
"1995-06-07","1995-06-07",21.3113
"1995-06-08","1995-06-08",21.6578
"1995-06-09","1995-06-09",21.6578
"1995-06-12","1995-06-12",21.6578
"1995-06-13","1995-06-13",21.6001
"1995-06-14","1995-06-14",21.7156
"1995-06-15","1995-06-15",21.4846
"1995-06-16","1995-06-16",21.5423
"1995-06-19","1995-06-19",21.5423
"1995-06-20","1995-06-20",21.6578
"1995-06-21","1995-06-21",21.6578
"1995-06-22","1995-06-22",21.8311
"1995-06-23","1995-06-23",21.7156
"1995-06-26","1995-06-26",21.6578
"1995-06-27","1995-06-27",21.0803
"1995-06-28","1995-06-28",21.0803
"1995-06-29","1995-06-29",21.1958
"1995-06-30","1995-06-30",21.0225
"1995-07-03","1995-07-03",20.8493
"1995-07-05","1995-07-05",20.2717
"1995-07-06","1995-07-06",20.3295
"1995-07-07","1995-07-07",20.2717
"1995-07-10","1995-07-10",20.3295
"1995-07-11","1995-07-11",20.3873
"1995-07-12","1995-07-12",20.6183
"1995-07-13","1995-07-13",20.907
"1995-07-14","1995-07-14",20.9648
"1995-07-17","1995-07-17",20.907
"1995-07-18","1995-07-18",20.8493
"1995-07-19","1995-07-19",20.6183
"1995-07-20","1995-07-20",20.2717
"1995-07-21","1995-07-21",20.5028
"1995-07-24","1995-07-24",20.7338
"1995-07-25","1995-07-25",21.0803
"1995-07-26","1995-07-26",21.5423
"1995-07-27","1995-07-27",21.3691
"1995-07-28","1995-07-28",21.4846
"1995-07-31","1995-07-31",21.6578
"1995-08-01","1995-08-01",21.4846
"1995-08-02","1995-08-02",21.3113
"1995-08-03","1995-08-03",21.0803
"1995-08-04","1995-08-04",21.2536
"1995-08-07","1995-08-07",21.4846
"1995-08-08","1995-08-08",21.4846
"1995-08-09","1995-08-09",21.3691
"1995-08-10","1995-08-10",21.3113
"1995-08-11","1995-08-11",21.3691
"1995-08-14","1995-08-14",21.7156
"1995-08-15","1995-08-15",21.6001
"1995-08-16","1995-08-16",21.1958
"1995-08-17","1995-08-17",20.907
"1995-08-18","1995-08-18",20.9648
"1995-08-21","1995-08-21",20.907
"1995-08-22","1995-08-22",20.8493
"1995-08-23","1995-08-23",20.6183
"1995-08-24","1995-08-24",21.0225
"1995-08-25","1995-08-25",21.0225
"1995-08-28","1995-08-28",20.9648
"1995-08-29","1995-08-29",20.907
"1995-08-30","1995-08-30",21.1381
"1995-08-31","1995-08-31",20.907
"1995-09-01","1995-09-01",21.0225
"1995-09-05","1995-09-05",21.3691
"1995-09-06","1995-09-06",21.3691
"1995-09-07","1995-09-07",21.3113
"1995-09-08","1995-09-08",21.1381
"1995-09-11","1995-09-11",21.3691
"1995-09-12","1995-09-12",21.9466
"1995-09-13","1995-09-13",22.5242
"1995-09-14","1995-09-14",22.7552
"1995-09-15","1995-09-15",22.9862
"1995-09-18","1995-09-18",23.506
"1995-09-19","1995-09-19",23.3905
"1995-09-20","1995-09-20",23.5637
"1995-09-21","1995-09-21",23.2172
"1995-09-22","1995-09-22",23.6792
"1995-09-25","1995-09-25",23.968
"1995-09-26","1995-09-26",23.9103
"1995-09-27","1995-09-27",23.6215
"1995-09-28","1995-09-28",23.6792
"1995-09-29","1995-09-29",23.5637
"1995-10-02","1995-10-02",23.5637
"1995-10-03","1995-10-03",24.0258
"1995-10-04","1995-10-04",24.6611
"1995-10-05","1995-10-05",24.1413
"1995-10-06","1995-10-06",24.0258
"1995-10-09","1995-10-09",23.9103
"1995-10-10","1995-10-10",23.968
"1995-10-11","1995-10-11",23.9103
"1995-10-12","1995-10-12",23.7948
"1995-10-13","1995-10-13",23.4482
"1995-10-16","1995-10-16",24.0258
"1995-10-17","1995-10-17",23.737
"1995-10-18","1995-10-18",23.7948
"1995-10-19","1995-10-19",24.6033
"1995-10-20","1995-10-20",24.3145
"1995-10-23","1995-10-23",24.3145
"1995-10-24","1995-10-24",24.2568
"1995-10-25","1995-10-25",24.43
"1995-10-26","1995-10-26",24.0835
"1995-10-27","1995-10-27",24.43
"1995-10-30","1995-10-30",24.3145
"1995-10-31","1995-10-31",24.3145
"1995-11-01","1995-11-01",24.3145
"1995-11-02","1995-11-02",24.43
"1995-11-03","1995-11-03",24.6033
"1995-11-06","1995-11-06",24.1413
"1995-11-07","1995-11-07",24.1413
"1995-11-08","1995-11-08",24.9498
"1995-11-09","1995-11-09",24.6611
"1995-11-10","1995-11-10",24.6033
"1995-11-13","1995-11-13",24.8921
"1995-11-14","1995-11-14",24.43
"1995-11-15","1995-11-15",24.9498
"1995-11-16","1995-11-16",24.9498
"1995-11-17","1995-11-17",25.2964
"1995-11-20","1995-11-20",25.1809
"1995-11-21","1995-11-21",25.3541
"1995-11-22","1995-11-22",25.1231
"1995-11-24","1995-11-24",25.1231
"1995-11-27","1995-11-27",24.8343
"1995-11-28","1995-11-28",25.3541
"1995-11-29","1995-11-29",25.2964
"1995-11-30","1995-11-30",25.5851
"1995-12-01","1995-12-01",25.4696
"1995-12-04","1995-12-04",26.0472
"1995-12-05","1995-12-05",26.5092
"1995-12-06","1995-12-06",26.5092
"1995-12-07","1995-12-07",26.798
"1995-12-08","1995-12-08",26.7402
"1995-12-11","1995-12-11",26.6247
"1995-12-12","1995-12-12",26.7402
"1995-12-13","1995-12-13",26.7402
"1995-12-14","1995-12-14",26.6825
"1995-12-15","1995-12-15",26.6247
"1995-12-18","1995-12-18",26.2782
"1995-12-19","1995-12-19",26.3937
"1995-12-20","1995-12-20",25.2964
"1995-12-21","1995-12-21",25.1809
"1995-12-22","1995-12-22",25.7006
"1995-12-26","1995-12-26",25.7584
"1995-12-27","1995-12-27",25.9317
"1995-12-28","1995-12-28",25.9894
"1995-12-29","1995-12-29",25.8161
"1996-01-02","1996-01-02",25.7584
"1996-01-03","1996-01-03",25.8161
"1996-01-04","1996-01-04",25.7584
"1996-01-05","1996-01-05",25.7006
"1996-01-08","1996-01-08",25.7006
"1996-01-09","1996-01-09",25.4696
"1996-01-10","1996-01-10",25.4119
"1996-01-11","1996-01-11",25.5851
"1996-01-12","1996-01-12",26.0472
"1996-01-15","1996-01-15",26.0472
"1996-01-16","1996-01-16",26.4514
"1996-01-17","1996-01-17",26.4514
"1996-01-18","1996-01-18",26.6825
"1996-01-19","1996-01-19",26.567
"1996-01-22","1996-01-22",26.6825
"1996-01-23","1996-01-23",26.8557
"1996-01-24","1996-01-24",27.0867
"1996-01-25","1996-01-25",27.3178
"1996-01-26","1996-01-26",27.3178
"1996-01-29","1996-01-29",27.7798
"1996-01-30","1996-01-30",27.6065
"1996-01-31","1996-01-31",27.5488
"1996-02-01","1996-02-01",27.7798
"1996-02-02","1996-02-02",27.5488
"1996-02-05","1996-02-05",27.7798
"1996-02-06","1996-02-06",28.1263
"1996-02-07","1996-02-07",29.7434
"1996-02-08","1996-02-08",29.5124
"1996-02-09","1996-02-09",29.9167
"1996-02-12","1996-02-12",29.7434
"1996-02-13","1996-02-13",29.3969
"1996-02-14","1996-02-14",28.9926
"1996-02-15","1996-02-15",28.8194
"1996-02-16","1996-02-16",28.4151
"1996-02-20","1996-02-20",28.0686
"1996-02-21","1996-02-21",28.7039
"1996-02-22","1996-02-22",29.2814
"1996-02-23","1996-02-23",30.4365
"1996-02-26","1996-02-26",30.0322
"1996-02-27","1996-02-27",29.6279
"1996-02-28","1996-02-28",29.2814
"1996-02-29","1996-02-29",29.2237
"1996-03-01","1996-03-01",29.6279
"1996-03-04","1996-03-04",30.4942
"1996-03-05","1996-03-05",30.8408
"1996-03-06","1996-03-06",29.7434
"1996-03-07","1996-03-07",30.09
"1996-03-08","1996-03-08",28.9349
"1996-03-11","1996-03-11",29.1081
"1996-03-12","1996-03-12",29.6279
"1996-03-13","1996-03-13",29.1659
"1996-03-14","1996-03-14",28.9926
"1996-03-15","1996-03-15",28.8194
"1996-03-18","1996-03-18",29.2237
"1996-03-19","1996-03-19",29.1081
"1996-03-20","1996-03-20",29.2237
"1996-03-21","1996-03-21",29.1659
"1996-03-22","1996-03-22",29.2237
"1996-03-25","1996-03-25",29.3392
"1996-03-26","1996-03-26",29.4547
"1996-03-27","1996-03-27",29.4547
"1996-03-28","1996-03-28",29.3969
"1996-03-29","1996-03-29",29.2237
"1996-04-01","1996-04-01",29.5702
"1996-04-02","1996-04-02",29.5702
"1996-04-03","1996-04-03",29.8012
"1996-04-04","1996-04-04",29.7434
"1996-04-08","1996-04-08",29.0504
"1996-04-09","1996-04-09",28.7616
"1996-04-10","1996-04-10",27.8953
"1996-04-11","1996-04-11",28.0686
"1996-04-12","1996-04-12",28.6461
"1996-04-15","1996-04-15",28.8771
"1996-04-16","1996-04-16",28.5884
"1996-04-17","1996-04-17",28.2996
"1996-04-18","1996-04-18",28.3573
"1996-04-19","1996-04-19",28.1841
"1996-04-22","1996-04-22",28.2418
"1996-04-23","1996-04-23",28.0686
"1996-04-24","1996-04-24",27.4333
"1996-04-25","1996-04-25",27.6643
"1996-04-26","1996-04-26",27.6643
"1996-04-29","1996-04-29",28.3573
"1996-04-30","1996-04-30",29.3392
"1996-05-01","1996-05-01",29.5702
"1996-05-02","1996-05-02",29.1081
"1996-05-03","1996-05-03",28.9349
"1996-05-06","1996-05-06",28.9349
"1996-05-07","1996-05-07",29.3392
"1996-05-08","1996-05-08",29.8589
"1996-05-09","1996-05-09",30.321
"1996-05-10","1996-05-10",30.2632
"1996-05-13","1996-05-13",30.7253
"1996-05-14","1996-05-14",30.6098
"1996-05-15","1996-05-15",30.8985
"1996-05-16","1996-05-16",31.4183
"1996-05-17","1996-05-17",31.8803
"1996-05-20","1996-05-20",31.9381
"1996-05-21","1996-05-21",31.5916
"1996-05-22","1996-05-22",31.5338
"1996-05-23","1996-05-23",31.3606
"1996-05-24","1996-05-24",31.245
"1996-05-28","1996-05-28",30.6675
"1996-05-29","1996-05-29",30.7253
"1996-05-30","1996-05-30",30.9563
"1996-05-31","1996-05-31",30.7253
"1996-06-03","1996-06-03",30.9563
"1996-06-04","1996-06-04",30.8408
"1996-06-05","1996-06-05",31.0718
"1996-06-06","1996-06-06",31.3028
"1996-06-07","1996-06-07",31.1873
"1996-06-10","1996-06-10",31.0718
"1996-06-11","1996-06-11",30.9563
"1996-06-12","1996-06-12",30.9563
"1996-06-13","1996-06-13",30.9563
"1996-06-14","1996-06-14",30.6098
"1996-06-17","1996-06-17",30.7253
"1996-06-18","1996-06-18",31.0718
"1996-06-19","1996-06-19",31.7648
"1996-06-20","1996-06-20",31.4183
"1996-06-21","1996-06-21",31.6493
"1996-06-24","1996-06-24",31.9959
"1996-06-25","1996-06-25",32.3424
"1996-06-26","1996-06-26",32.3424
"1996-06-27","1996-06-27",32.9199
"1996-06-28","1996-06-28",32.8044
"1996-07-01","1996-07-01",32.9199
"1996-07-02","1996-07-02",32.6889
"1996-07-03","1996-07-03",32.1114
"1996-07-05","1996-07-05",31.4183
"1996-07-08","1996-07-08",31.0718
"1996-07-09","1996-07-09",30.9563
"1996-07-10","1996-07-10",31.0718
"1996-07-11","1996-07-11",30.3787
"1996-07-12","1996-07-12",30.7253
"1996-07-15","1996-07-15",29.5702
"1996-07-16","1996-07-16",29.2237
"1996-07-17","1996-07-17",28.8771
"1996-07-18","1996-07-18",30.1477
"1996-07-19","1996-07-19",30.0322
"1996-07-22","1996-07-22",30.3787
"1996-07-23","1996-07-23",30.7253
"1996-07-24","1996-07-24",29.8012
"1996-07-25","1996-07-25",29.2237
"1996-07-26","1996-07-26",29.4547
"1996-07-29","1996-07-29",29.2237
"1996-07-30","1996-07-30",29.5702
"1996-07-31","1996-07-31",29.3392
"1996-08-01","1996-08-01",29.6857
"1996-08-02","1996-08-02",30.9563
"1996-08-05","1996-08-05",30.6098
"1996-08-06","1996-08-06",30.6098
"1996-08-07","1996-08-07",29.9167
"1996-08-08","1996-08-08",29.1081
"1996-08-09","1996-08-09",28.0686
"1996-08-12","1996-08-12",28.4151
"1996-08-13","1996-08-13",29.2237
"1996-08-14","1996-08-14",29.2237
"1996-08-15","1996-08-15",28.8771
"1996-08-16","1996-08-16",29.1081
"1996-08-19","1996-08-19",28.1841
"1996-08-20","1996-08-20",27.8375
"1996-08-21","1996-08-21",28.2996
"1996-08-22","1996-08-22",28.8771
"1996-08-23","1996-08-23",28.9926
"1996-08-26","1996-08-26",29.2237
"1996-08-27","1996-08-27",28.6461
"1996-08-28","1996-08-28",27.722
"1996-08-29","1996-08-29",26.4514
"1996-08-30","1996-08-30",26.567
"1996-09-03","1996-09-03",26.4514
"1996-09-04","1996-09-04",26.567
"1996-09-05","1996-09-05",26.1049
"1996-09-06","1996-09-06",26.3359
"1996-09-09","1996-09-09",26.567
"1996-09-10","1996-09-10",27.26
"1996-09-11","1996-09-11",27.6065
"1996-09-12","1996-09-12",27.6065
"1996-09-13","1996-09-13",27.6065
"1996-09-16","1996-09-16",26.4514
"1996-09-17","1996-09-17",26.798
"1996-09-18","1996-09-18",27.26
"1996-09-19","1996-09-19",27.8375
"1996-09-20","1996-09-20",27.8375
"1996-09-23","1996-09-23",27.491
"1996-09-24","1996-09-24",27.722
"1996-09-25","1996-09-25",27.8375
"1996-09-26","1996-09-26",27.9531
"1996-09-27","1996-09-27",25.9894
"1996-09-30","1996-09-30",26.1049
"1996-10-01","1996-10-01",26.2204
"1996-10-02","1996-10-02",26.567
"1996-10-03","1996-10-03",27.029
"1996-10-04","1996-10-04",27.1445
"1996-10-07","1996-10-07",26.6825
"1996-10-08","1996-10-08",26.567
"1996-10-09","1996-10-09",26.3359
"1996-10-10","1996-10-10",26.567
"1996-10-11","1996-10-11",26.798
"1996-10-14","1996-10-14",26.798
"1996-10-15","1996-10-15",26.567
"1996-10-16","1996-10-16",27.029
"1996-10-17","1996-10-17",27.8375
"1996-10-18","1996-10-18",28.1841
"1996-10-21","1996-10-21",27.8375
"1996-10-22","1996-10-22",27.26
"1996-10-23","1996-10-23",27.491
"1996-10-24","1996-10-24",27.491
"1996-10-25","1996-10-25",27.722
"1996-10-28","1996-10-28",27.722
"1996-10-29","1996-10-29",27.3755
"1996-10-30","1996-10-30",27.491
"1996-10-31","1996-10-31",27.3755
"1996-11-01","1996-11-01",27.722
"1996-11-04","1996-11-04",27.6065
"1996-11-05","1996-11-05",27.722
"1996-11-06","1996-11-06",27.8375
"1996-11-07","1996-11-07",27.9531
"1996-11-08","1996-11-08",29.1081
"1996-11-11","1996-11-11",28.9926
"1996-11-12","1996-11-12",29.2237
"1996-11-13","1996-11-13",29.5702
"1996-11-14","1996-11-14",30.3787
"1996-11-15","1996-11-15",30.1477
"1996-11-18","1996-11-18",29.4547
"1996-11-19","1996-11-19",29.2237
"1996-11-20","1996-11-20",29.1081
"1996-11-21","1996-11-21",28.0686
"1996-11-22","1996-11-22",27.722
"1996-11-25","1996-11-25",27.722
"1996-11-26","1996-11-26",27.6065
"1996-11-27","1996-11-27",27.9531
"1996-11-29","1996-11-29",27.9531
"1996-12-02","1996-12-02",27.722
"1996-12-03","1996-12-03",27.6065
"1996-12-04","1996-12-04",27.722
"1996-12-05","1996-12-05",27.3755
"1996-12-06","1996-12-06",27.1445
"1996-12-09","1996-12-09",27.3755
"1996-12-10","1996-12-10",27.491
"1996-12-11","1996-12-11",27.26
"1996-12-12","1996-12-12",26.6825
"1996-12-13","1996-12-13",26.9135
"1996-12-16","1996-12-16",26.798
"1996-12-17","1996-12-17",26.4514
"1996-12-18","1996-12-18",26.567
"1996-12-19","1996-12-19",26.567
"1996-12-20","1996-12-20",27.029
"1996-12-23","1996-12-23",27.26
"1996-12-24","1996-12-24",27.029
"1996-12-26","1996-12-26",27.26
"1996-12-27","1996-12-27",27.3755
"1996-12-30","1996-12-30",27.6065
